,Province/State,Country/Region,Last Update,Confirmed,Suspected,Recovered,Death,latitude,longitude
5,Anhui,China,2/2/20 01:33,340,0,5,0,30.6006773,117.9249002
11,Beijing,China,2/2/20 03:05,183,0,9,1,39.9041999,116.4073963
7,Chongqing,China,2/1/20 23:43,262,0,3,1,29.4315861,106.912251
13,Fujian,China,2/2/20 03:43,159,0,0,0,26.4836842,117.9249002
23,Gansu,China,2/1/20 15:43,40,0,0,0,35.7518326,104.2861116
2,Guangdong,China,2/2/20 01:23,604,0,14,0,23.3790333,113.7632828
15,Guangxi,China,2/2/20 00:23,111,0,2,0,23.7247599,108.8076195
24,Guizhou,China,2/2/20 01:03,38,0,2,0,26.8429645,107.2902839
20,Hainan,China,2/2/20 01:03,63,0,1,1,19.5663947,109.949686
16,Hebei,China,2/2/20 02:53,104,0,3,1,37.8956594,114.9042208
17,Heilongjiang,China,2/2/20 03:23,95,0,2,2,47.1216472,128.738231
3,Henan,China,2/2/20 00:53,493,0,4,2,34.2904302,113.3823545
33,Hong Kong,Hong Kong,2/2/20 01:03,14,0,0,0,22.3193039,114.1693611
0,Hubei,China,2/1/20 23:33,9074,0,215,294,30.7378118,112.2384017
4,Hunan,China,2/2/20 01:53,463,0,8,0,27.6252995,111.8568586
8,Jiangsu,China,2/2/20 01:13,236,0,6,0,33.1401715,119.7889248
6,Jiangxi,China,2/2/20 01:23,333,0,10,0,27.0874564,114.9042208
27,Jilin,China,2/2/20 02:33,23,0,1,0,43.1520105,126.4371385
19,Liaoning,China,2/1/20 15:23,64,0,1,0,41.9436543,122.5290376
38,Macau,Macau,1/31/20 08:15,7,0,0,0,22.198745,113.543873
25,Ningxia,China,2/2/20 01:43,28,0,0,0,37.198731,106.1580937
35,Qinghai,China,2/1/20 05:37,9,0,0,0,35.744798,96.4077358
14,Shaanxi,China,2/2/20 03:23,116,0,0,0,35.3939908,109.1880047
10,Shandong,China,2/2/20 01:03,225,0,5,0,35.8939566,117.9249002
12,Shanghai,China,2/2/20 00:23,177,0,10,1,31.230416,121.473701
21,Shanxi,China,2/1/20 23:33,56,0,1,0,37.2425649,111.8568586
9,Sichuan,China,2/2/20 01:03,231,0,3,1,30.2638032,102.8054753
34,Taiwan,Taiwan,1/31/20 15:20,10,0,0,0,23.69781,120.960515
22,Tianjin,China,2/2/20 02:03,45,0,0,0,39.3433574,117.3616476
56,Tibet,China,2/1/20 01:52,1,0,0,0,30.1533605,88.7878678
28,Xinjiang,China,2/2/20 00:43,21,0,0,0,42.5246357,87.5395855
18,Yunnan,China,2/1/20 15:53,93,0,2,0,24.4752847,101.3431058
1,Zhejiang,China,2/2/20 02:13,661,0,23,0,29.1416432,119.7889248